title,genres,budget,revenue,vote_average,vote_count,release_date,popularity,runtime,year,roi,main_genre
The Avengers,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",220000000.0,1519557910.0,7.4,11776,2012-04-25,144.448633,143.0,2012.0,6.907081409090909,
Pirates of the Caribbean: On Stranger Tides,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",380000000.0,1045713802.0,6.4,4948,2011-05-14,135.413856,136.0,2011.0,2.7518784263157894,
Men in Black 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",225000000.0,624026776.0,6.2,4160,2012-05-23,52.035179,106.0,2012.0,2.773452337777778,
The Hobbit: The Battle of the Five Armies,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",250000000.0,956019788.0,7.1,4760,2014-12-10,120.965743,144.0,2014.0,3.824079152,
The Amazing Spider-Man,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",215000000.0,752215857.0,6.5,6586,2012-06-27,89.866276,136.0,2012.0,3.4986784046511628,
Robin Hood,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",200000000.0,310669540.0,6.2,1398,2010-05-12,37.668301,140.0,2010.0,1.5533477,
The Hobbit: The Desolation of Smaug,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",250000000.0,958400000.0,7.6,4524,2013-12-11,94.370564,161.0,2013.0,3.8336,
The Golden Compass,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",180000000.0,372234864.0,5.8,1303,2007-12-04,42.990906,113.0,2007.0,2.0679714666666666,
King Kong,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",207000000.0,550000000.0,6.6,2337,2005-12-14,61.22601,187.0,2005.0,2.657004830917874,
Titanic,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",200000000.0,1845034188.0,7.5,7562,1997-11-18,100.025899,194.0,1997.0,9.22517094,
Captain America: Civil War,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",250000000.0,1153304495.0,7.1,7241,2016-04-27,198.372395,147.0,2016.0,4.61321798,
Battleship,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",209000000.0,303025485.0,5.5,2114,2012-04-11,64.928382,131.0,2012.0,1.4498827033492823,
Jurassic World,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",150000000.0,1513528810.0,6.5,8662,2015-06-09,418.708552,124.0,2015.0,10.090192066666667,
Skyfall,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",200000000.0,1108561013.0,6.9,7604,2012-10-25,93.004993,143.0,2012.0,5.542805065,
Spider-Man 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",200000000.0,783766341.0,6.7,4321,2004-06-25,35.149586,127.0,2004.0,3.918831705,
Iron Man 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",200000000.0,1215439994.0,6.8,8806,2013-04-18,77.68208,130.0,2013.0,6.07719997,
Alice in Wonderland,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",200000000.0,1025491110.0,6.4,4645,2010-03-03,78.530105,108.0,2010.0,5.12745555,
X-Men: The Last Stand,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",210000000.0,459359555.0,6.3,3525,2006-05-24,3.857526,104.0,2006.0,2.1874264523809526,
Monsters University,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",200000000.0,743559607.0,7.0,3528,2013-06-20,89.186492,104.0,2013.0,3.717798035,
Transformers: Revenge of the Fallen,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",150000000.0,836297228.0,6.0,3138,2009-06-19,21.939663,150.0,2009.0,5.575314853333333,
Transformers: Age of Extinction,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",210000000.0,1091405097.0,5.8,3095,2014-06-25,116.840296,165.0,2014.0,5.1971671285714285,
Oz: The Great and Powerful,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",200000000.0,491868548.0,5.7,3530,2013-03-07,46.985445,130.0,2013.0,2.45934274,
The Amazing Spider-Man 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",200000000.0,705717432.0,6.5,4179,2014-04-16,89.270217,142.0,2014.0,3.52858716,
TRON: Legacy,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",170000000.0,400062763.0,6.3,2841,2010-12-10,73.79505,125.0,2010.0,2.3533103705882352,
Cars 2,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",200000000.0,559852396.0,5.8,2033,2011-06-11,49.98659,106.0,2011.0,2.79926198,
Green Lantern,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",200000000.0,219851172.0,5.1,2487,2011-06-16,51.872839,114.0,2011.0,1.09925586,
Toy Story 3,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",200000000.0,1066969703.0,7.6,4597,2010-06-16,59.995418,103.0,2010.0,5.334848515,
Terminator Salvation,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",200000000.0,371353001.0,5.9,2463,2009-05-20,71.862892,115.0,2009.0,1.856765005,
Furious 7,"[{""id"": 28, ""name"": ""Action""}]",190000000.0,1506249360.0,7.3,4176,2015-04-01,102.322217,137.0,2015.0,7.927628210526316,
World War Z,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",200000000.0,531865000.0,6.7,5560,2013-06-20,81.834855,116.0,2013.0,2.659325,
X-Men: Days of Future Past,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",250000000.0,747862775.0,7.5,6032,2014-05-15,118.078691,131.0,2014.0,2.9914511,
Star Trek Into Darkness,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",190000000.0,467365246.0,7.4,4418,2013-05-05,78.291018,132.0,2013.0,2.4598170842105263,
Jack the Giant Slayer,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",195000000.0,197687603.0,5.5,2598,2013-02-27,43.349855,114.0,2013.0,1.0137825794871795,
The Great Gatsby,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",105000000.0,351040419.0,7.3,3769,2013-05-10,61.196071,143.0,2013.0,3.3432420857142855,
Prince of Persia: The Sands of Time,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}]",150000000.0,335154643.0,6.2,2317,2010-05-19,62.169881,116.0,2010.0,2.2343642866666666,
Pacific Rim,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",180000000.0,407602906.0,6.7,4794,2013-07-11,56.523205,131.0,2013.0,2.264460588888889,
Transformers: Dark of the Moon,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",195000000.0,1123746996.0,6.1,3299,2011-06-28,28.529607,154.0,2011.0,5.762805107692308,
Indiana Jones and the Kingdom of the Crystal Skull,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",185000000.0,786636033.0,5.7,2495,2008-05-21,75.674458,122.0,2008.0,4.252086664864865,
The Good Dinosaur,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",175000000.0,331926147.0,6.6,1736,2015-11-14,51.692953,93.0,2015.0,1.89672084,
Brave,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",185000000.0,538983207.0,6.7,4641,2012-06-21,125.114374,93.0,2012.0,2.9134227405405406,
Star Trek Beyond,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",185000000.0,343471816.0,6.6,2568,2016-07-07,65.352913,122.0,2016.0,1.8566044108108108,
WALL·E,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",180000000.0,521311860.0,7.8,6296,2008-06-22,66.390712,98.0,2008.0,2.896177,
Rush Hour 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",140000000.0,258022233.0,6.1,783,2007-08-08,22.57178,91.0,2007.0,1.84301595,
2012,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",200000000.0,769653595.0,5.6,4903,2009-10-10,45.274225,158.0,2009.0,3.848267975,
A Christmas Carol,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",200000000.0,325233863.0,6.6,1095,2009-11-04,39.744242,96.0,2009.0,1.626169315,
Jupiter Ascending,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",176000003.0,183987723.0,5.2,2768,2015-02-04,85.36908,124.0,2015.0,1.0453847719536686,
The Legend of Tarzan,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",180000000.0,356743061.0,5.5,2430,2016-06-29,42.741719,109.0,2016.0,1.9819058944444445,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",180000000.0,748806957.0,6.7,2629,2005-12-07,67.391328,143.0,2005.0,4.16003865,
X-Men: Apocalypse,"[{""id"": 878, ""name"": ""Science Fiction""}]",178000000.0,543934787.0,6.4,4721,2016-05-18,139.272042,144.0,2016.0,3.0558134101123597,
The Dark Knight,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",185000000.0,1004558444.0,8.2,12002,2008-07-16,187.322927,152.0,2008.0,5.430045643243243,
Up,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}]",175000000.0,735099082.0,7.7,6870,2009-05-13,92.201962,96.0,2009.0,4.200566182857143,
Monsters vs Aliens,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",175000000.0,381509870.0,6.0,1423,2009-03-19,36.167578,94.0,2009.0,2.1800564,
Iron Man,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",140000000.0,585174222.0,7.4,8776,2008-04-30,120.725053,126.0,2008.0,4.179815871428572,
Hugo,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",170000000.0,185770160.0,7.0,2141,2011-11-22,32.319043,126.0,2011.0,1.0927656470588236,
Wild Wild West,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 37, ""name"": ""Western""}]",170000000.0,222104681.0,5.1,1020,1999-06-29,40.748915,106.0,1999.0,1.3064981235294117,
The Mummy: Tomb of the Dragon Emperor,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",145000000.0,401128639.0,5.2,1387,2008-07-01,60.034162,112.0,2008.0,2.7664044068965516,
Suicide Squad,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",175000000.0,745000000.0,5.9,7458,2016-08-02,90.23792,123.0,2016.0,4.257142857142857,
Evan Almighty,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",175000000.0,173000000.0,5.3,1151,2007-06-09,27.082182,96.0,2007.0,0.9885714285714285,
Edge of Tomorrow,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",178000000.0,370541256.0,7.6,4858,2014-05-27,79.456485,113.0,2014.0,2.081692449438202,
Waterworld,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",175000000.0,264218220.0,5.9,992,1995-07-28,44.640292,135.0,1995.0,1.5098184,
G.I. Joe: The Rise of Cobra,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",175000000.0,302469017.0,5.6,1962,2009-08-04,32.852443,118.0,2009.0,1.7283943828571429,
Inside Out,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",175000000.0,857611174.0,8.0,6560,2015-06-09,128.655964,94.0,2015.0,4.90063528,
The Jungle Book,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}]",175000000.0,966550600.0,6.7,2892,2016-04-07,94.199316,106.0,2016.0,5.523146285714286,
Iron Man 2,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",200000000.0,623933331.0,6.6,6849,2010-04-28,77.300194,124.0,2010.0,3.119666655,
Snow White and the Huntsman,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}]",170000000.0,396600000.0,5.8,3118,2012-05-30,77.178973,127.0,2012.0,2.3329411764705883,
Maleficent,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10749, ""name"": ""Romance""}]",180000000.0,758539785.0,7.0,4496,2014-05-28,110.620647,97.0,2014.0,4.214109916666667,
Dawn of the Planet of the Apes,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",170000000.0,710644566.0,7.3,4410,2014-06-26,243.791743,130.0,2014.0,4.180262152941176,
The Lovers,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10749, ""name"": ""Romance""}]",27000000.0,,4.8,34,2015-02-13,2.418535,109.0,2015.0,,
47 Ronin,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",175000000.0,150962475.0,5.9,1326,2013-12-06,41.796339,119.0,2013.0,0.8626427142857143,
Captain America: The Winter Soldier,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",170000000.0,714766572.0,7.6,5764,2014-03-20,72.225265,136.0,2014.0,4.204509247058824,
Shrek Forever After,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",165000000.0,752600867.0,6.0,1959,2010-05-16,44.041186,93.0,2010.0,4.561217375757575,
Tomorrowland,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]",190000000.0,209154322.0,6.2,2846,2015-05-19,130.311355,130.0,2015.0,1.1008122210526317,
Big Hero 6,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}]",165000000.0,652105443.0,7.8,6135,2014-10-24,203.73459,102.0,2014.0,3.9521542,
Wreck-It Ralph,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",165000000.0,471222889.0,7.1,4570,2012-11-01,62.341073,108.0,2012.0,2.855896296969697,
The Polar Express,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",165000000.0,305875730.0,6.4,1474,2004-11-10,47.323228,100.0,2004.0,1.853792303030303,
Independence Day: Resurgence,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",165000000.0,389681935.0,4.9,2491,2016-06-22,48.775723,120.0,2016.0,2.3617086969696968,
How to Train Your Dragon,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",165000000.0,494878759.0,7.5,4227,2010-03-05,67.263269,98.0,2010.0,2.999265206060606,
Terminator 3: Rise of the Machines,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",200000000.0,435000000.0,5.9,2143,2003-07-02,69.405188,109.0,2003.0,2.175,
Guardians of the Galaxy,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",170000000.0,773328629.0,7.9,9742,2014-07-30,481.098624,121.0,2014.0,4.548991935294118,
Interstellar,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}]",165000000.0,675120017.0,8.1,10867,2014-11-05,724.247784,169.0,2014.0,4.0916364666666665,
Inception,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 12, ""name"": ""Adventure""}]",160000000.0,825532764.0,8.1,13752,2010-07-14,167.58371,148.0,2010.0,5.159579775,
Shin Godzilla,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}]",15000000.0,77000000.0,6.5,143,2016-07-29,9.476999,120.0,2016.0,5.133333333333334,
The Hobbit: An Unexpected Journey,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}]",250000000.0,1021103568.0,7.0,8297,2012-11-26,108.849621,169.0,2012.0,4.084414272,
The Fast and the Furious,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",38000000.0,207283925.0,6.6,3428,2001-06-22,6.909942,106.0,2001.0,5.454840131578948,
The Curious Case of Benjamin Button,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 10749, ""name"": ""Romance""}]",150000000.0,333932083.0,7.3,3292,2008-11-24,60.269279,166.0,2008.0,2.2262138866666668,
X-Men: First Class,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",160000000.0,353624124.0,7.1,5181,2011-05-24,3.195174,132.0,2011.0,2.210150775,
The Hunger Games: Mockingjay - Part 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",160000000.0,653428261.0,6.6,3984,2015-11-18,127.284427,137.0,2015.0,4.08392663125,
